yellow,green,orange
3.3833333333333333,5.616666666666666,4.516666666666667
5.1,4.483333333333333,4.366666666666666
3.5833333333333335,4.016666666666667,4.083333333333333
7.466666666666667,4.233333333333333,3.8
5.466666666666667,5.85,4.416666666666667
4.583333333333333,5.616666666666666,3.65
5.65,4.116666666666666,2.4
4.35,5.483333333333333,4.35
4.666666666666667,4.833333333333333,3.6666666666666665
4.116666666666666,3.8833333333333333,4.383333333333334
3.75,4.033333333333333,4.45
4.316666666666666,3.6,3.15
4.45,4.25,4.65
5.783333333333333,4.166666666666667,2.4166666666666665
3.6166666666666667,4.966666666666667,4.05
3.75,3.9,4.2
5.283333333333333,3.8666666666666667,3.0
5.016666666666667,3.933333333333333,4.55
4.583333333333333,5.283333333333333,4.116666666666666
4.3,3.283333333333333,3.566666666666667
3.6666666666666665,4.8,5.433333333333334
4.1,3.9833333333333334,3.5166666666666666
4.433333333333334,4.85,2.6333333333333333
4.533333333333333,3.033333333333333,3.35
5.033333333333333,4.233333333333333,5.266666666666667
4.833333333333333,5.366666666666666,3.533333333333333
3.5,6.4,5.133333333333334
4.533333333333333,4.566666666666666,2.0833333333333335
5.016666666666667,4.233333333333333,3.6666666666666665
3.4833333333333334,4.816666666666666,4.116666666666666
4.983333333333333,3.683333333333333,3.8333333333333335
4.433333333333334,4.9,3.6
3.05,3.95,2.95
4.483333333333333,5.316666666666666,2.5166666666666666
5.083333333333333,3.466666666666667,2.7666666666666666
3.6666666666666665,3.3833333333333333,4.65
3.85,4.266666666666667,4.033333333333333
4.55,5.0,4.066666666666666
4.133333333333334,4.166666666666667,3.7
4.35,3.9,4.75
4.416666666666667,5.583333333333333,4.066666666666666
4.883333333333334,7.266666666666667,3.216666666666667
4.733333333333333,6.3,4.55
4.666666666666667,5.116666666666666,3.2333333333333334
5.833333333333333,4.6,5.283333333333333
5.416666666666667,4.8,3.5833333333333335
3.9833333333333334,4.333333333333333,3.0166666666666666
3.3333333333333335,4.95,3.9166666666666665
3.3,4.066666666666666,4.016666666666667
5.033333333333333,5.016666666666667,3.316666666666667
6.516666666666667,6.233333333333333,4.633333333333334
5.65,3.9,3.9
4.85,4.566666666666666,3.1666666666666665
4.383333333333334,6.833333333333333,4.95
4.333333333333333,5.283333333333333,5.95
